date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:42	15008/15008	---MCZ	200	added ('OK')	text/html	etag:W/%222e3d5d5ad93ee1cafbebdb0e9e9cf9f8%22	https://smashcamp.xyz/pages/hall_of_fame	smashcamp.xyz/pages/hall_of_fame.html	(from https://smashcamp.xyz/)
23:24:42	1394/1394	---M--	200	added ('OK')	image/png	etag:%22649fc41d-572%22	https://smashcamp.xyz/stardivider.png	smashcamp.xyz/stardivider.png	(from https://smashcamp.xyz/)
23:24:43	19617/19617	---M--	200	added ('OK')	image/png	etag:%22649fc41d-4ca1%22	https://smashcamp.xyz/SmashCamp.png	smashcamp.xyz/SmashCamp.png	(from https://smashcamp.xyz/)
23:24:45	10305/10305	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202024%2023:24:45%20GMT	https://smashcamp.xyz/assets/chosen-js/chosen.min.css	smashcamp.xyz/assets/chosen-js/chosen.min.css	(from https://smashcamp.xyz/assets/application-553ded0ac6a080f3591b1de83dc8d2afbed2f7facb00d7c6e20658841a9430d3.css)
23:24:46	12384/12384	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202024%2023:24:46%20GMT	https://smashcamp.xyz/assets/bootstrap4c-chosen/dist/css/component-chosen.min.css	smashcamp.xyz/assets/bootstrap4c-chosen/dist/css/component-chosen.min.css	(from https://smashcamp.xyz/assets/application-553ded0ac6a080f3591b1de83dc8d2afbed2f7facb00d7c6e20658841a9430d3.css)
23:24:47	1439357/1439357	---M--	200	added ('OK')	image/png	etag:%22649fc41d-15f67d%22	https://smashcamp.xyz/NeonGenesisSmashCamp.png	smashcamp.xyz/NeonGenesisSmashCamp.png	(from https://smashcamp.xyz/)
23:24:48	20665/20665	---MCZ	200	added ('OK')	text/html	etag:W/%2235159fa2dd47d02185c17d6d451de9ec%22	https://smashcamp.xyz/events/28	smashcamp.xyz/events/28.html	(from https://smashcamp.xyz/pre-camp)
23:24:49	25680/25680	---MCZ	200	added ('OK')	text/html	etag:W/%227a35ee2efb53b1be3c3af576810a413c%22	https://smashcamp.xyz/events/29	smashcamp.xyz/events/29.html	(from https://smashcamp.xyz/pre-camp)
23:24:50	28912/28912	---MCZ	200	added ('OK')	text/html	etag:W/%228d42dbfcf8f352e9ab58c31e9645f8fe%22	https://smashcamp.xyz/events/52	smashcamp.xyz/events/52.html	(from https://smashcamp.xyz/pre-camp)
23:24:51	21719/21719	---MCZ	200	added ('OK')	text/html	etag:W/%2230bbcc1e863e1d71e450152347e5ffbf%22	https://smashcamp.xyz/events/41	smashcamp.xyz/events/41.html	(from https://smashcamp.xyz/pre-camp)
23:24:52	14021/14021	---MCZ	200	added ('OK')	text/html	etag:W/%22c6ce96cb7d4a89c34823e5f2dc0e2005%22	https://smashcamp.xyz/events/38	smashcamp.xyz/events/38.html	(from https://smashcamp.xyz/pre-camp)
23:24:53	9635/9635	---MCZ	200	added ('OK')	text/html	etag:W/%228c26bb3197bef8044cdaaba03b3491e7%22	https://smashcamp.xyz/events/39	smashcamp.xyz/events/39.html	(from https://smashcamp.xyz/pre-camp)
23:24:54	19363/19363	---MCZ	200	added ('OK')	text/html	etag:W/%2253309a414321a8e18a27d50fedf328a1%22	https://smashcamp.xyz/events/31	smashcamp.xyz/events/31.html	(from https://smashcamp.xyz/pre-camp)
23:24:54	93/93	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:24:54%20GMT	https://smashcamp.xyz/days/SmashCamp.xyz	smashcamp.xyz/days/SmashCamp.xyz	(from https://smashcamp.xyz/days/1)
23:24:56	19617/19617	---M--	200	added ('OK')	image/png	etag:%226472d44c-4ca1%22	https://smashcamp.xyz/assets/SmashCamp-f3e1bb9b2fe8fe5803fae7f2e949fceabebde9d72498a14afa8385f458a72e5a.png	smashcamp.xyz/assets/SmashCamp-f3e1bb9b2fe8fe5803fae7f2e949fceabebde9d72498a14afa8385f458a72e5a.png	(from https://smashcamp.xyz/days/1)
23:24:56	6776/6776	---MCZ	200	added ('OK')	text/html	etag:W/%229dbb436e29f8cfd4b60c78809bcf12e2%22	https://smashcamp.xyz/REEEE	smashcamp.xyz/REEEE.html	(from https://smashcamp.xyz/days/1)
23:24:57	1394/1394	---M--	200	added ('OK')	image/png	etag:%22646986d5-572%22	https://smashcamp.xyz/assets/stardivider-dd810b73e53041cad6c10947719a83c4b916b2caffcaebc3974ed966f222968c.png	smashcamp.xyz/assets/stardivider-dd810b73e53041cad6c10947719a83c4b916b2caffcaebc3974ed966f222968c.png	(from https://smashcamp.xyz/days/1)
23:24:58	4151/4151	---M--	200	added ('OK')	image/png	etag:%22646986d5-1037%22	https://smashcamp.xyz/assets/WelcomeToDay1-eac4824b3060d2d93b204c6916b40e391ab69eee74877bb09154cec442df48b5.png	smashcamp.xyz/assets/WelcomeToDay1-eac4824b3060d2d93b204c6916b40e391ab69eee74877bb09154cec442df48b5.png	(from https://smashcamp.xyz/days/1)
23:24:59	652/652	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:24:59%20GMT	https://smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZW89IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--70162989ee44bde41bba5a2fb0d843b4c9f2890a/Submission%20Guidelines.png	smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZW89IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--70162989ee44bde41bba5a2fb0d843b4c9f2890a/Submission%20Guidelines.png	(from https://smashcamp.xyz/days/1)
